date Mon Aug 15 09:21:53 am 2005
base dec  timestamps relative
internal events logged
   0.020000000    EnvSpeedEntry := 2600
   0.020000000    EnvSpeedEntry := 2620
   0.030000000    EnvSpeedEntry := 2630
   0.040000000    EnvSpeedEntry := 2650
   0.010000000    EnvSpeedEntry := 2670
   0.050000000    EnvSpeedEntry := 2690
   2.570000000    EnvTurnSignal := 1
   1.320000000    EnvSpeedEntry := 2720
   0.070000000    EnvSpeedEntry := 2710
   0.050000000    EnvSpeedEntry := 2690
   0.020000000    EnvSpeedEntry := 2670
   0.020000000    EnvSpeedEntry := 2650
   0.010000000    EnvSpeedEntry := 2630
   0.040000000    EnvSpeedEntry := 2620
   0.010000000    EnvSpeedEntry := 2600
   0.020000000    EnvSpeedEntry := 2560
   0.040000000    EnvSpeedEntry := 2540
   0.020000000    EnvSpeedEntry := 2530
   0.010000000    EnvSpeedEntry := 2510
   0.020000000    EnvSpeedEntry := 2490
   0.050000000    EnvSpeedEntry := 2470
   0.030000000    EnvSpeedEntry := 2450
   0.040000000    EnvSpeedEntry := 2440
   0.030000000    EnvSpeedEntry := 2420
   0.050000000    EnvSpeedEntry := 2400
   0.020000000    EnvSpeedEntry := 2380
   0.020000000    EnvSpeedEntry := 2360
   0.010000000    EnvSpeedEntry := 2350
   0.040000000    EnvSpeedEntry := 2330
   0.020000000    EnvSpeedEntry := 2310
   0.010000000    EnvSpeedEntry := 2270
   0.020000000    EnvSpeedEntry := 2260
   0.022542250    EnvSpeedEntry := 2240
   0.007457750    EnvSpeedEntry := 2220
   0.020000000    EnvSpeedEntry := 2200
   0.020000000    EnvSpeedEntry := 2180
   0.020000000    EnvSpeedEntry := 2160
   0.010000000    EnvSpeedEntry := 2150
   0.022559250    EnvSpeedEntry := 2130
   0.027440750    EnvSpeedEntry := 2090
   0.030000000    EnvSpeedEntry := 2070
   0.010000000    EnvSpeedEntry := 2040
   0.020000000    EnvSpeedEntry := 1980
   0.020000000    EnvSpeedEntry := 1950
   0.010000000    EnvSpeedEntry := 1930
   0.020000000    EnvSpeedEntry := 1910
   0.010000000    EnvSpeedEntry := 1880
   0.020000000    EnvSpeedEntry := 1860
   0.020000000    EnvSpeedEntry := 1840
   0.020000000    EnvSpeedEntry := 1820
   0.010000000    EnvSpeedEntry := 1800
   0.040000000    EnvSpeedEntry := 1790
   0.010000000    EnvSpeedEntry := 1770
   0.040000000    EnvSpeedEntry := 1750
   0.020000000    EnvSpeedEntry := 1730
   0.010000000    EnvSpeedEntry := 1710
   0.020000000    EnvSpeedEntry := 1700
   0.030000000    EnvSpeedEntry := 1680
   0.020000000    EnvSpeedEntry := 1660
   0.040000000    EnvSpeedEntry := 1640
   0.010000000    EnvSpeedEntry := 1620
   0.042536250    EnvSpeedEntry := 1610
   0.007463750    EnvSpeedEntry := 1590
   0.020000000    EnvSpeedEntry := 1570
   0.020000000    EnvSpeedEntry := 1550
   0.020000000    EnvSpeedEntry := 1530
   0.010000000    EnvSpeedEntry := 1520
   0.040000000    EnvSpeedEntry := 1500
   0.010000000    EnvSpeedEntry := 1480
   0.120000000    EnvSpeedEntry := 1460
   0.040000000    EnvSpeedEntry := 1440
   0.050000000    EnvSpeedEntry := 1430
   1.920000000    EnvTurnSignal := 0
   1.610000000    EnvSpeedEntry := 1430
   0.050000000    EnvSpeedEntry := 1440
   0.020000000    EnvSpeedEntry := 1500
   0.010000000    EnvSpeedEntry := 1530
   0.020000000    EnvSpeedEntry := 1550
   0.020000000    EnvSpeedEntry := 1570
   0.012544250    EnvSpeedEntry := 1610
   0.017455750    EnvSpeedEntry := 1640
   0.020000000    EnvSpeedEntry := 1680
   0.020000000    EnvSpeedEntry := 1710
   0.010000000    EnvSpeedEntry := 1730
   0.020000000    EnvSpeedEntry := 1770
   0.020000000    EnvSpeedEntry := 1790
   0.010000000    EnvSpeedEntry := 1800
   0.020000000    EnvSpeedEntry := 1820
   0.020000000    EnvSpeedEntry := 1840
   0.020000000    EnvSpeedEntry := 1860
   0.010000000    EnvSpeedEntry := 1880
   0.020000000    EnvSpeedEntry := 1890
   0.020000000    EnvSpeedEntry := 1930
   0.010000000    EnvSpeedEntry := 1950
   0.020000000    EnvSpeedEntry := 1980
   0.020000000    EnvSpeedEntry := 2020
   0.022559250    EnvSpeedEntry := 2040
   0.007440750    EnvSpeedEntry := 2060
   0.020000000    EnvSpeedEntry := 2070
   0.020000000    EnvSpeedEntry := 2090
   0.010988750    EnvSpeedEntry := 2110
   0.019011250    EnvSpeedEntry := 2130
   0.030000000    EnvSpeedEntry := 2150
   0.020000000    EnvSpeedEntry := 2160
   0.040000000    EnvSpeedEntry := 2180
   0.040000000    EnvSpeedEntry := 2200
   0.010000000    EnvSpeedEntry := 2220
   0.030000000    EnvSpeedEntry := 2240
   0.040000000    EnvSpeedEntry := 2270
   0.020000000    EnvSpeedEntry := 2310
   0.010000000    EnvSpeedEntry := 2330
   0.020000000    EnvSpeedEntry := 2360
   0.020000000    EnvSpeedEntry := 2380
   0.010000000    EnvSpeedEntry := 2420
   0.020000000    EnvSpeedEntry := 2450
   0.030000000    EnvSpeedEntry := 2470
   0.020000000    EnvSpeedEntry := 2490
   0.020000000    EnvSpeedEntry := 2510
