date Thu Apr 15 11:36:03 am 2010
base dec  timestamps relative
internal events logged
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.126398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.131398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.136398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.140398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.145398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.150398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.155398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.160398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.169398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.174398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.179398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.183398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.188398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.193398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.198398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.203398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.207398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.212398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.217398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.226398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.231398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.236398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.241398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.245398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.250398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.255398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.260398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.265398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.269398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.274398
   0.660000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.269398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.255398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.245398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.236398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.226398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.212398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.198398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.188398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.179398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.164398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.145398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.131398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.107398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0933982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0883982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0693982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0643982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0593982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0503982
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.660000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0403982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0353982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0313982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0263982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0213982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0123982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00739816
   2.750000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0213982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0353982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0553982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0593982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0643982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0743982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0783982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0833982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0883982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0933982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0973982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.107398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.112398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.121398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.126398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.131398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.136398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.140398
   1.210000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.136398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.126398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.121398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.117398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.102398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0933982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0883982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0833982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0743982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0693982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0593982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0553982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0503982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0353982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0263982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0213982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00739816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00239816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.00260184
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0116018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0166018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0216018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0266018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0306018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0356018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0406018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0456018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0506018
   0.770000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0456018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0406018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0356018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0306018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0266018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0166018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0116018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.00760184
   0.220000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00239816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00739816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0123982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0263982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0403982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0553982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0643982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0693982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0743982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0833982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0973982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.107398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.112398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.126398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.136398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.145398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.150398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.155398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.160398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.164398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.169398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.174398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.179398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.183398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.188398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.193398
